Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2019-08-11T00:00:00.000,ACUR,4D,,RED,AH86013,IL,701 N. Sacramento,(773) 265-7605,6965969
2019-08-11T00:00:00.000,ACUR,4D,,BLK,H358518,IL,701 N. Sacramento,(773) 265-7605,6965934
2019-08-11T00:00:00.000,ACUR,LL,,GRY,AL59078,IL,701 N. Sacramento,(773) 265-7605,6965944
2019-08-11T00:00:00.000,AUDI,LL,,TAN,BL47298,IL,10300 S. Doty,(773) 568-8495,2883303
2019-08-11T00:00:00.000,BMW,4D,,BLK,BN46850,IL,701 N. Sacramento,(773) 265-7605,6965977
2019-08-11T00:00:00.000,BUIC,4D,,TAN,VLM917,IN,400 E. Lower Wacker,(312) 744-7550,0209678
2019-08-11T00:00:00.000,BUIC,4D,,SIL,76B740,NB,400 E. Lower Wacker,(312) 744-7550,0209704
2019-08-11T00:00:00.000,BUIC,LL,,WHI,Q955497,IL,10300 S. Doty,(773) 568-8495,2883301
2019-08-11T00:00:00.000,CADI,4D,,BLK,BM15034,IL,10300 S. Doty,(773) 568-8495,2883317
2019-08-11T00:00:00.000,CHEV,4D,,RED,AL16161,IL,10300 S. Doty,(773) 568-8495,2883305
2019-08-11T00:00:00.000,CHEV,4D,,WHI,BF47080,IL,400 E. Lower Wacker,(312) 744-7550,0209676
2019-08-11T00:00:00.000,CHEV,4D,,DBL,BH95106,IL,701 N. Sacramento,(773) 265-7605,6965970
2019-08-11T00:00:00.000,CHEV,4D,,BLK,BF87483,IL,10300 S. Doty,(773) 568-8495,2883308
2019-08-11T00:00:00.000,CHEV,4D,,BLU,BG84800,IL,701 N. Sacramento,(773) 265-7605,6965965
2019-08-11T00:00:00.000,CHEV,4D,,SIL,4074927,IL,400 E. Lower Wacker,(312) 744-7550,0209679
2019-08-11T00:00:00.000,CHEV,4D,,BLK,ZV83998,IL,701 N. Sacramento,(773) 265-7605,6965994
2019-08-11T00:00:00.000,CHEV,4D,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6965962
2019-08-11T00:00:00.000,CHEV,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2883314
2019-08-11T00:00:00.000,CHEV,4D,,RED,CYC5500,MN,701 N. Sacramento,(773) 265-7605,6966013
2019-08-11T00:00:00.000,CHEV,4D,,BLK,S326746,IL,400 E. Lower Wacker,(312) 744-7550,0209656
